Title,Text
The Pity of Love,"
A pity beyond all telling
Is hid in the heart of love:
The folk who are buying and selling;
The clouds on their journey above;
The cold wet winds ever blowing;
And the shadowy hazel grove
Where mouse-grey waters are flowing
Threaten the head that I love."
The Rose of Battle,"
Rose of all Roses, Rose of all the world!
The tall thought-woven sails, that flap unfurled
Above the tide of hours, throuble the air,
And God's bell buoyed to be the water's care
While hushed from fear, or loud with hope, a band
With blown, spray-dabbled hair gather at hand.
Turn if you may from battles never done,
I call, as they go by me one by one,
Danger no refuge holds, and war no peace,
For him who hears love sing and never cease,
Beside her clean-swept hearth, her quiet shade:
But gather all for whom no love hath made
A woven silence, or but came to cast
A song into the air, and singing past
To smile on the pale dawn; and gather you
p.2
Who have sought more than is in rain or dew
Or in the sun and moon, or on the earth,
Or sighs amid the wandering, starry mirth,
Or comes in laughter from the sea's sad lips;
And wage God's battles in the long gray ships.
The sad, the lonely, the insatiable,
To these Old Night shall all her mystery tell;
God's bell has claimed them by the little cry
Of their hearts, that may not live nor die.
Rose of all Roses, Rose of all the World!
You, too, have come where the dim tides are hurled
Upon the wharves of sorrow, and heard ring
The bell that calls us on; the sweet far thing.
Beauty grown sad with its eternity
Made you of us, and of the dim gray sea.
Our long ships loose thought-woven sails and wait,
For God has bid them share an equal fate;
And when at last defeated in His wars,
They have gone down under the same white stars,
We shall no longer hear the little cry
Of our sad hearts, that may not live nor die."
When you are old,"
When you are old and gray and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once and of their shadows deep;
p.3
How many loved your moments of glad grace,
And loved your beauty with love false or true;
But one man loved the pilgrim soul in you,
And loved the sorrows of your changing face.
And bending down beside the glowing bars
Murmus, a little sadly, how love fled
And paced upon the mountains overhead
And hid his face amid a crowd of stars."
The Rose of the world,"
Who dreamed that beauty passes like a dream?
For these red lips, with all their mournful pride,
Mournful that no new wonder may betide,
Troy passed away in one high funeral gleam,
And Usna's children died.
We and the labouring world are passing by:
Amid men's souls, that waver and give place
Like the pale waters in their wintry race,
Under the passing stars, foam of the sky,
Lives on this lonely face.
Bow down, archangels, in your dim abode:
Before you were, or any hearts to beat,
Weary and kind one lingered by His seat;
He made the world to be a grassy road
Before her wandering feet."
The Lover tells of the Rose in his Heart,"
All things uncomely and broken, all things worn and old,
The cry of a child by the roadway, the creak of a lumbering cart,
The heavy steps of the ploughman, splashing the wintry mould,
Are wronging your image that blossoms a rose in the deeps of my heart.
The wrong of unshapely things is a wrong too great to be told;
I hunger to build them anew and sit on a green knoll apart,
With the earth and the sky and the water, remade, like a casket of gold
For my dreams of your image that blossoms a rose in the deeps of my heart."
The Lover mourns for the loss of Love,"
Pale brows, still hands and dim hair,
I had a beautiful friend
And dreamed that the old despair
Would end in love in the end:
She looked in my heart one day
And saw your image was there;
She has gone weeping away."
He mourns for the change that has come upon him and his beloved and longs for the end of the world,"
Do you not hear me calling, white deer with no horns!
I have been changed to a hound with one red ear;
I have been in the Path of Stones and the Wood of Thorns,
For somebody hid hatred and hope and desire and fear
Under my feet that they follow you night and day.
A man with a hazel wand came without sound;
He changed me suddenly; I was looking another way;
And now my calling is but the calling of a hound;
And Time and Birth and Change are hurrying by.
I would that the Boar without bristles had come from the West
And had rooted the sun and moon and stars out of the sky
And lay in the darkness, grunting, and turning to his rest."
He tells of a valley full of lovers,"
I dreamed that I stood in a valley, and amid sighs,
For happy lovers passed two by two where I stood;
And I dreamed my lost love came stealthily out of the wood
With her cloud-pale eyelids falling on dream-dimmed eyes:
I cried in my dream, O women, bid the young men lay
Their heads on your knees, and drown their eyes with your hair,
Or remembering hers they will find no other face fair
Till all the valleys of the world have been withered away."
He remembers forgotten Beauty,"
When my arms wrap you round I press
My heart upon the loveliness
That has long faded from the world;
The jewelled crowns that kings have hurled
In shadowy pools, when armies fled;
The love-tales wrought with silken thread
By dreaming ladies upon cloth
That has made fat the murderous moth;
The roses that of old time were
Woven by ladies in their hair.
The dew-cold lilies ladies bore
Through many a sacred corridor
Where such gray clouds of incense rose
That only the gods' eyes did not close:
For that pale breast and lingering hand
Come from a more dream-heavy land,
A more dream-heavy hour than this;
And when you sigh from kiss to kiss
I hear white Beauty sighing, too,
For hours when all must fade like dew,
All but the flames, and deep on deep.
Throne over throne where in half sleep.
Their swords upon their iron knees,
Brood her high lonely mysteries."
He bids his beloved be at peace,"
I hear the Shadowy Horses, their long manes a-shake,
Their hoofs heavy with tumult, their eyes glimmering white;
The North unfolds above them clinging, creeping night,
The East her hidden joy before the morning break,
The West weeps in pale dew and sighs passing away,
The South is pouring down roses of crimson fire:
O vanity of Sleep, Hope, Dream, endless Desire,
The Horses of Disaster plunge in the heavy clay:
Beloved, let your eyes half close, and your heart beat
Over my heart, and your hair fall over my breast,
Drowning love's lonely hour in deep twilight of rest,
And hiding their tossing manes and their tumultuous feet."
